Fields,BoundingBox,X,Y,id,left,top,right,bottom
52,"[-93.1733185627273,44.9940648413709;-93.1732435627273,44.9940718413709]","[-93.1733185627273,-93.1732435627273,-93.1732435627273,-93.1733185627273,-93.1733185627273,NaN]","[44.9940718413709,44.9940718413709,44.9940648413709,44.9940648413709,44.9940718413709,NaN]",53,-93.17332304,44.99407782,44.99407782,44.99407082
53,"[-93.1733270478234,44.9940578424290;-93.1732520478234,44.9940648424290]","[-93.1733270478234,-93.1732520478234,-93.1732520478234,-93.1733270478234,-93.1733270478234,NaN]","[44.9940648424290,44.9940648424290,44.9940578424290,44.9940578424290,44.9940648424290,NaN]",54,-93.17332304,44.99407082,44.99407082,44.99406382
54,"[-93.1733270997622,44.9940510544945;-93.1732520997622,44.9940580544945]","[-93.1733270997622,-93.1732520997622,-93.1732520997622,-93.1733270997622,-93.1733270997622,NaN]","[44.9940580544945,44.9940580544945,44.9940510544945,44.9940510544945,44.9940580544945,NaN]",55,-93.17332304,44.99406382,44.99406382,44.99405682
55,"[-93.1733193138990,44.9940441718079;-93.1732443138990,44.9940511718079]","[-93.1733193138990,-93.1732443138990,-93.1732443138990,-93.1733193138990,-93.1733193138990,NaN]","[44.9940511718079,44.9940511718079,44.9940441718079,44.9940441718079,44.9940511718079,NaN]",56,-93.17332304,44.99405682,44.99405682,44.99404982
56,"[-93.1733191541287,44.9940373326213;-93.1732441541287,44.9940443326213]","[-93.1733191541287,-93.1732441541287,-93.1732441541287,-93.1733191541287,-93.1733191541287,NaN]","[44.9940443326213,44.9940443326213,44.9940373326213,44.9940373326213,44.9940443326213,NaN]",57,-93.17332304,44.99404982,44.99404982,44.99404282
57,"[-93.1733250768613,44.9940297881273;-93.1732500768613,44.9940367881273]","[-93.1733250768613,-93.1732500768613,-93.1732500768613,-93.1733250768613,-93.1733250768613,NaN]","[44.9940367881273,44.9940367881273,44.9940297881273,44.9940297881273,44.9940367881273,NaN]",58,-93.17332304,44.99404282,44.99404282,44.99403582
58,"[-93.1733250017450,44.9940227881273;-93.1732500017450,44.9940297881273]","[-93.1733250017450,-93.1732500017450,-93.1732500017450,-93.1733250017450,-93.1733250017450,NaN]","[44.9940297881273,44.9940297881273,44.9940227881273,44.9940227881273,44.9940297881273,NaN]",59,-93.17332304,44.99403582,44.99403582,44.99402882
59,"[-93.1733197272294,44.9940159086155;-93.1732447272294,44.9940229086155]","[-93.1733197272294,-93.1732447272294,-93.1732447272294,-93.1733197272294,-93.1733197272294,NaN]","[44.9940229086155,44.9940229086155,44.9940159086155,44.9940159086155,44.9940229086155,NaN]",60,-93.17332304,44.99402882,44.99402882,44.99402182
60,"[-93.1733168759673,44.9940089716266;-93.1732418759673,44.9940159716266]","[-93.1733168759673,-93.1732418759673,-93.1732418759673,-93.1733168759673,-93.1733168759673,NaN]","[44.9940159716266,44.9940159716266,44.9940089716266,44.9940089716266,44.9940159716266,NaN]",61,-93.17332304,44.99402182,44.99402182,44.99401482
61,"[-93.1733263304818,44.9940020603741;-93.1732513304819,44.9940090603741]","[-93.1733263304818,-93.1732513304819,-93.1732513304819,-93.1733263304818,-93.1733263304818,NaN]","[44.9940090603741,44.9940090603741,44.9940020603741,44.9940020603741,44.9940090603741,NaN]",62,-93.17332304,44.99401482,44.99401482,44.99400782
62,"[-93.1733250525538,44.9939954681695;-93.1732500525538,44.9940024681695]","[-93.1733250525538,-93.1732500525538,-93.1732500525538,-93.1733250525538,-93.1733250525538,NaN]","[44.9940024681695,44.9940024681695,44.9939954681695,44.9939954681695,44.9940024681695,NaN]",63,-93.17332304,44.99400782,44.99400782,44.99400082
63,"[-93.1733187966678,44.9939884712200;-93.1732437966678,44.9939954712200]","[-93.1733187966678,-93.1732437966678,-93.1732437966678,-93.1733187966678,-93.1733187966678,NaN]","[44.9939954712200,44.9939954712200,44.9939884712200,44.9939884712200,44.9939954712200,NaN]",64,-93.17332304,44.99400082,44.99400082,44.99399382
64,"[-93.1733184645543,44.9939815569171;-93.1732434645543,44.9939885569171]","[-93.1733184645543,-93.1732434645543,-93.1732434645543,-93.1733184645543,-93.1733184645543,NaN]","[44.9939885569171,44.9939885569171,44.9939815569171,44.9939815569171,44.9939885569171,NaN]",65,-93.17332304,44.99399382,44.99399382,44.99398682
65,"[-93.1733257549084,44.9939744681700;-93.1732507549084,44.9939814681700]","[-93.1733257549084,-93.1732507549084,-93.1732507549084,-93.1733257549084,-93.1733257549084,NaN]","[44.9939814681700,44.9939814681700,44.9939744681700,44.9939744681700,44.9939814681700,NaN]",66,-93.17332304,44.99398682,44.99398682,44.99397982
66,"[-93.1733246377983,44.9939675553920;-93.1732496377983,44.9939745553920]","[-93.1733246377983,-93.1732496377983,-93.1732496377983,-93.1733246377983,-93.1733246377983,NaN]","[44.9939745553920,44.9939745553920,44.9939675553920,44.9939675553920,44.9939745553920,NaN]",67,-93.17332304,44.99397982,44.99397982,44.99397282
67,"[-93.1733168777667,44.9939605668363;-93.1732418777667,44.9939675668363]","[-93.1733168777667,-93.1732418777667,-93.1732418777667,-93.1733168777667,-93.1733168777667,NaN]","[44.9939675668363,44.9939675668363,44.9939605668363,44.9939605668363,44.9939675668363,NaN]",68,-93.17332304,44.99397282,44.99397282,44.99396582
68,"[-93.1733168133260,44.9939535197371;-93.1732418133260,44.9939605197371]","[-93.1733168133260,-93.1732418133260,-93.1732418133260,-93.1733168133260,-93.1733168133260,NaN]","[44.9939605197371,44.9939605197371,44.9939535197371,44.9939535197371,44.9939605197371,NaN]",69,-93.17332304,44.99396582,44.99396582,44.99395882
69,"[-93.1733263121774,44.9939464424333;-93.1732513121774,44.9939534424333]","[-93.1733263121774,-93.1732513121774,-93.1732513121774,-93.1733263121774,-93.1733263121774,NaN]","[44.9939534424333,44.9939534424333,44.9939464424333,44.9939464424333,44.9939534424333,NaN]",70,-93.17332304,44.99395882,44.99395882,44.99395182
70,"[-93.1733248122404,44.9939393955366;-93.1732498122404,44.9939463955366]","[-93.1733248122404,-93.1732498122404,-93.1732498122404,-93.1733248122404,-93.1733248122404,NaN]","[44.9939463955366,44.9939463955366,44.9939393955366,44.9939393955366,44.9939463955366,NaN]",71,-93.17332304,44.99395182,44.99395182,44.99394482
71,"[-93.1733188854137,44.9939321253817;-93.1732438854137,44.9939391253817]","[-93.1733188854137,-93.1732438854137,-93.1732438854137,-93.1733188854137,-93.1733188854137,NaN]","[44.9939391253817,44.9939391253817,44.9939321253817,44.9939321253817,44.9939391253817,NaN]",72,-93.17332304,44.99394482,44.99394482,44.99393782
72,"[-93.1733188072468,44.9939251253816;-93.1732438072468,44.9939321253816]","[-93.1733188072468,-93.1732438072468,-93.1732438072468,-93.1733188072468,-93.1733188072468,NaN]","[44.9939321253816,44.9939321253816,44.9939251253816,44.9939251253816,44.9939321253816,NaN]",73,-93.17332304,44.99393782,44.99393782,44.99393082
