Date,Max Deg F,Min Deg F
4/4/2018,28,7
4/5/2018,28,8
4/6/2018,38,13
4/7/2018,19,11
4/8/2018,28,11
4/9/2018,30,15
4/10/2018,34,21
4/11/2018,39,27
4/12/2018,45,29
4/13/2018,45,33
4/14/2018,38,26
4/15/2018,28,20
4/16/2018,26,21
4/17/2018,35,21
4/18/2018,41,24
4/19/2018,40,24
4/20/2018,50,26
4/21/2018,52,29
4/22/2018,59,33
4/23/2018,62,38
4/24/2018,67,41
4/25/2018,60,33
4/26/2018,58,34
4/27/2018,62,39
4/28/2018,59,35
4/29/2018,55,37
4/30/2018,67,42
5/1/2018,81,51
5/2/2018,68,46
5/3/2018,66,47
5/4/2018,73,52
5/5/2018,76,51
5/6/2018,80,50
5/7/2018,74,52
5/8/2018,85,62
5/9/2018,69,50
5/10/2018,63,42
5/11/2018,58,43
5/12/2018,50,43
5/13/2018,60,40
5/14/2018,70,50
5/15/2018,73,51
5/16/2018,75,55
5/17/2018,86,56
5/18/2018,83,55
5/19/2018,83,55
5/20/2018,61,42
5/21/2018,71,45
5/22/2018,69,54
5/23/2018,74,59
5/24/2018,82,65
5/25/2018,90,62
5/26/2018,88,67
5/27/2018,92,66
5/28/2018,90,75
5/29/2018,100,71
5/30/2018,93,68
5/31/2018,74,64
6/1/2018,85,66
6/2/2018,81,62
6/3/2018,70,59
6/4/2018,69,52
6/5/2018,86,60
6/6/2018,80,61
6/7/2018,78,59
6/8/2018,78,62
6/9/2018,74,63
6/10/2018,72,64
6/11/2018,77,64
6/12/2018,73,66
6/13/2018,81,58
6/14/2018,80,64
6/15/2018,81,68
6/16/2018,94,71
6/17/2018,87,71
6/18/2018,90,70
6/19/2018,79,66
6/20/2018,72,65
6/21/2018,80,68
6/22/2018,79,64
6/23/2018,83,64
6/24/2018,84,66
6/25/2018,82,68
6/26/2018,84,66
6/27/2018,72,67
6/28/2018,82,68
6/29/2018,88,76
6/30/2018,99,80
7/1/2018,89,73
7/2/2018,77,65
7/3/2018,90,75
7/4/2018,89,75
7/5/2018,85,75
7/6/2018,84,68
7/7/2018,85,72
7/8/2018,88,74
7/9/2018,92,76
7/10/2018,91,70
7/11/2018,88,73
7/12/2018,91,77
7/13/2018,95,75
7/14/2018,84,71
7/15/2018,89,72
7/16/2018,89,66
7/17/2018,86,66
7/18/2018,82,64
7/19/2018,84,71
7/20/2018,75,67
7/21/2018,82,65
7/22/2018,83,66
7/23/2018,83,65
7/24/2018,85,63
7/25/2018,85,67
7/26/2018,83,62
7/27/2018,72,60
7/28/2018,79,57
7/29/2018,82,60
7/30/2018,84,61
7/31/2018,85,62
8/1/2018,87,68
8/2/2018,80,58
8/3/2018,74,59
8/4/2018,84,66
8/5/2018,79,73
8/6/2018,87,69
8/7/2018,84,67
8/8/2018,82,67
8/9/2018,89,71
8/10/2018,88,62
8/11/2018,87,69
8/12/2018,89,66
8/13/2018,89,73
8/14/2018,91,75
8/15/2018,91,68
8/16/2018,85,66
8/17/2018,86,68
8/18/2018,84,67
8/19/2018,86,64
8/20/2018,86,72
8/21/2018,80,67
8/22/2018,75,58
8/23/2018,83,54
8/24/2018,82,67
8/25/2018,71,65
8/26/2018,81,68
8/27/2018,87,71
8/28/2018,85,65
8/29/2018,68,55
8/30/2018,75,56
8/31/2018,78,61
9/1/2018,86,72
9/2/2018,89,74
9/3/2018,83,69
9/4/2018,79,70
9/5/2018,78,68
9/6/2018,75,55
9/7/2018,76,58
9/8/2018,78,58
9/9/2018,76,51
9/10/2018,76,57
9/11/2018,81,59
9/12/2018,85,67
9/13/2018,86,67
9/14/2018,87,68
9/15/2018,88,74
9/16/2018,93,72
9/17/2018,91,74
9/18/2018,79,63
9/19/2018,66,63
9/20/2018,67,61
9/21/2018,70,58
9/22/2018,62,48
9/23/2018,70,52
9/24/2018,78,37
9/25/2018,78,56
9/26/2018,58,45
9/27/2018,63,48
9/28/2018,61,43
9/29/2018,55,34
9/30/2018,46,38
10/1/2018,53,42
10/2/2018,49,45
10/3/2018,58,48
10/4/2018,78,36
10/5/2018,48,37
10/6/2018,51,43
10/7/2018,47,42
10/8/2018,52,45
10/9/2018,54,48
10/10/2018,50,45
10/11/2018,53,37
10/12/2018,40,33
10/13/2018,47,34
10/14/2018,56,37
10/15/2018,40,32
10/16/2018,43,32
10/17/2018,53,32
10/18/2018,47,29
10/19/2018,69,35
10/20/2018,63,33
10/21/2018,41,26
10/22/2018,56,27
10/23/2018,58,29
10/24/2018,46,27
10/25/2018,51,29
10/26/2018,52,43
10/27/2018,47,42
10/28/2018,51,43
10/29/2018,53,34
10/30/2018,45,38
10/31/2018,51,36
11/1/2018,51,32
11/2/2018,49,31
11/3/2018,44,31
11/4/2018,44,34
11/5/2018,36,34
11/6/2018,42,35
11/7/2018,40,27
11/8/2018,30,21
11/9/2018,25,17
11/10/2018,21,5
11/11/2018,25,6
11/12/2018,27,17
11/13/2018,19,5
11/14/2018,20,5
11/15/2018,41,16
11/16/2018,42,27
11/17/2018,30,20
11/18/2018,26,6
11/19/2018,26,6
11/20/2018,25,13
11/21/2018,31,12
11/22/2018,26,20
11/23/2018,39,26
11/24/2018,44,36
11/25/2018,36,22
11/26/2018,26,13
11/27/2018,22,10
11/28/2018,23,11
11/29/2018,25,15
11/30/2018,29,23
12/1/2018,29,25
12/2/2018,32,25
12/3/2018,30,24
12/4/2018,25,20
12/5/2018,25,19
12/6/2018,27,16
12/7/2018,17,4
12/8/2018,23,8
12/9/2018,24,11
12/10/2018,28,11
12/11/2018,23,9
12/12/2018,25,10
12/13/2018,27,22
12/14/2018,30,22
12/15/2018,39,19
12/16/2018,42,22
12/17/2018,43,22
12/18/2018,36,21
12/19/2018,42,25
12/20/2018,40,32
12/21/2018,35,21
12/22/2018,24,21
12/23/2018,30,24
12/24/2018,25,12
12/25/2018,25,12
12/26/2018,26,17
12/27/2018,35,20
12/28/2018,35,22
12/29/2018,22,9
12/30/2018,19,9
12/31/2018,30,19
